p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
120259085056	223363465472	1	1	true	2	4	4	[0, 5, 258, 262]	[0, 5, 8, 14]	1/4	4
944944186112	51566348032	0	1	true	2	8	5	[0, 4, 9, 257, 260, 266, 514, 518]	[0, 4, 10, 257, 260]	1	4
403728236544	2181844960256	1	1	true	2	11	1	[1, 4, 8, 12, 18, 20, 26, 30, 257, 262, 264]	[2]	1	1
525104	25167616	0	1	true	2	5	3	[0, 4, 9, 257, 261]	[2, 6, 258]	2	4
927763792752	2147508815808	1	104	false	2	17	1	[1, 5, 8, 14, 16, 20, 26, 257, 274, 276, 281, 517, 520, 526, 528, 532, 538]	[2]	1	2
867584704576	1924171563488	1	1	true	2	11	2	[1, 4, 10, 264, 522, 768, 774, 778, 1024, 1030, 1282]	[1, 5]	-1	1
60130853696	17198219744	0	6	true	2	11	1	[2, 4, 9, 12, 17, 272, 277, 282, 530, 532, 538]	[1]	-1	3
51540656496	1116693070304	0	1	true	2	9	1	[0, 5, 8, 12, 18, 268, 273, 526, 528]	[1]	-1	4
4191938413056	2130387664896	0	1	true	2	9	1	[0, 5, 8, 12, 16, 22, 268, 274, 526]	[1]	-1	4
3401647652864	1855451037952	1	1	true	2	7	3	[1, 4, 10, 261, 266, 270, 526]	[1, 4, 10]	0	4
4226299200000	2130323702816	1	8	true	2	13	1	[1, 4, 8, 12, 18, 20, 25, 261, 264, 278, 280, 521, 538]	[2]	1	1
309239218192	824651546656	0	1	true	2	5	3	[1, 4, 10, 258, 262]	[0, 5, 261]	-1+*	4
859044316016	1924271179712	0	56	true	2	15	1	[2, 6, 8, 13, 16, 20, 25, 258, 273, 276, 280, 285, 528, 532, 537]	[2]	1	1
3573412790592	1924153739136	1	1	true	2	9	1	[1, 4, 10, 12, 270, 518, 522, 524, 530]	[1]	-1	4
859043791616	1924170516352	1	1	true	2	10	1	[2, 4, 8, 14, 257, 260, 266, 514, 516, 520]	[1]	-1	4
4157578675040	1924272228320	1	193	false	2	15	1	[0, 4, 10, 12, 16, 22, 258, 270, 272, 276, 282, 524, 528, 532, 537]	[1]	-1	3
927714509584	2181871173632	1	1	true	2	13	2	[1, 4, 10, 261, 264, 518, 520, 778, 1030, 1032, 1286, 1288, 1546]	[1, 5]	-1	1
953534907216	2181971838848	1	283	false	2	21	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 260, 265, 270, 278, 280, 284, 290, 517, 530, 532, 536, 542]	[1]	-1	2
4252069790544	2181971838848	0	306	false	2	22	1	[2, 4, 8, 12, 17, 20, 24, 28, 34, 257, 260, 264, 269, 277, 282, 284, 290, 517, 520, 524, 529, 542]	[2]	1	2
3126787571712	481047871520	0	1	true	2	11	1	[1, 4, 10, 261, 264, 521, 773, 776, 1030, 1034, 1286]	[2]	1	1
3676493578608	2130315313376	0	9	true	2	15	1	[2, 4, 8, 13, 258, 260, 265, 273, 518, 520, 525, 528, 533, 536, 542]	[2]	1	2
4226299724144	2181855445216	0	297	false	2	18	1	[1, 4, 8, 13, 16, 20, 24, 30, 256, 260, 265, 273, 278, 282, 514, 516, 520, 525]	[2]	1	2
4226299724144	2181956108512	1	298	false	2	19	1	[1, 4, 8, 12, 18, 20, 24, 30, 258, 260, 265, 270, 278, 280, 284, 530, 532, 536, 541]	[1]	-1	2
927764316416	2164772569088	1	9	true	2	11	1	[0, 4, 10, 12, 16, 22, 257, 270, 273, 276, 282]	[1]	-1	2
927712936000	532586430464	1	1	true	2	8	1	[1, 4, 10, 12, 16, 22, 262, 270]	[1]	-1	4
927763267648	532586430464	0	1	true	2	10	1	[1, 4, 8, 13, 16, 22, 265, 273, 278, 282]	[2]	1	1
927764840816	2181855445024	0	120	false	2	16	1	[1, 4, 8, 13, 16, 20, 25, 256, 260, 265, 273, 278, 282, 514, 516, 522]	[2]	1	1
927764840816	2181956108320	1	121	false	2	17	1	[1, 4, 9, 256, 260, 266, 274, 277, 280, 286, 514, 516, 520, 526, 528, 532, 538]	[1]	-1	1
953534906736	2181956108320	0	146	false	2	19	1	[2, 4, 8, 12, 17, 20, 24, 29, 258, 260, 264, 269, 277, 282, 284, 289, 518, 520, 526]	[2]	1	1
953534906736	2181956108512	1	282	false	2	20	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 260, 264, 270, 278, 281, 284, 290, 517, 520, 524, 530]	[1]	-1	2
4252069790064	2181956108512	0	581	false	2	21	1	[2, 4, 8, 12, 17, 20, 24, 28, 34, 257, 260, 266, 269, 277, 280, 284, 290, 529, 532, 536, 542]	[2]	1	2
